,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[308],3.231,1.702,-0.159,6.517
likelihood_unobserved[309],4.083,1.735,0.471,7.329
likelihood_unobserved[310],3.245,1.736,-0.147,6.628
likelihood_unobserved[311],4.15,1.751,0.695,7.578
likelihood_unobserved[312],4.03,1.743,0.397,7.281
likelihood_unobserved[313],4.051,1.756,0.743,7.695
likelihood_unobserved[314],3.212,1.732,-0.152,6.605
likelihood_unobserved[315],4.084,1.704,0.854,7.536
likelihood_unobserved[316],3.223,1.738,-0.147,6.593
likelihood_unobserved[317],4.081,1.738,0.805,7.528
likelihood_unobserved[318],4.05,1.696,0.681,7.312
likelihood_unobserved[319],4.057,1.71,0.698,7.334
likelihood_unobserved[320],3.235,1.703,-0.014,6.611
likelihood_unobserved[321],4.089,1.728,0.808,7.659
likelihood_unobserved[322],3.217,1.721,-0.138,6.563
likelihood_unobserved[323],4.078,1.691,0.608,7.311
likelihood_unobserved[324],3.197,1.743,-0.205,6.584
likelihood_unobserved[325],4.073,1.705,0.714,7.367
likelihood_unobserved[326],3.233,1.734,-0.139,6.545
likelihood_unobserved[327],4.113,1.683,0.84,7.343
likelihood_unobserved[328],3.243,1.708,0.039,6.71
likelihood_unobserved[329],4.09,1.742,0.658,7.468
likelihood_unobserved[330],3.254,1.718,-0.072,6.591
likelihood_unobserved[331],4.125,1.711,0.857,7.525
likelihood_unobserved[332],3.241,1.731,-0.237,6.506
likelihood_unobserved[333],4.083,1.712,0.673,7.38
likelihood_unobserved[334],3.276,1.727,-0.086,6.686
likelihood_unobserved[335],4.106,1.719,0.857,7.517
likelihood_unobserved[336],3.248,1.716,0.035,6.812
likelihood_unobserved[337],4.086,1.712,0.672,7.324
likelihood_unobserved[338],3.281,1.75,-0.318,6.613
likelihood_unobserved[339],4.131,1.686,0.852,7.46
likelihood_unobserved[340],3.221,1.748,-0.13,6.756
likelihood_unobserved[341],4.115,1.726,0.738,7.467
likelihood_unobserved[342],3.261,1.731,-0.039,6.671
likelihood_unobserved[343],4.149,1.716,0.877,7.573
likelihood_unobserved[344],3.237,1.715,-0.034,6.689
