,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[361],0.007,0.004,0.003,0.011
likelihood_unobserved[362],0.003,0.0,0.002,0.003
likelihood_unobserved[363],0.002,0.001,0.001,0.002
likelihood_unobserved[364],0.003,0.001,0.002,0.004
likelihood_unobserved[365],0.004,0.003,0.001,0.008
likelihood_unobserved[366],0.006,0.002,0.004,0.008
likelihood_unobserved[367],0.002,0.001,0.001,0.004
likelihood_unobserved[368],0.005,0.001,0.004,0.005
likelihood_unobserved[369],0.004,0.001,0.003,0.005
likelihood_unobserved[370],0.004,0.002,0.002,0.006
likelihood_unobserved[371],0.005,0.0,0.005,0.005
likelihood_unobserved[372],0.002,0.0,0.002,0.003
likelihood_unobserved[373],0.005,0.001,0.004,0.006
likelihood_unobserved[374],0.006,0.005,0.002,0.011
likelihood_unobserved[375],0.006,0.002,0.004,0.008
likelihood_unobserved[376],0.005,0.003,0.002,0.008
likelihood_unobserved[377],0.007,0.002,0.004,0.009
likelihood_unobserved[378],0.004,0.001,0.003,0.005
likelihood_unobserved[379],0.003,0.002,0.001,0.006
likelihood_unobserved[380],0.005,0.005,0.001,0.01
likelihood_unobserved[381],0.003,0.0,0.002,0.003
likelihood_unobserved[382],0.007,0.005,0.002,0.013
likelihood_unobserved[383],0.003,0.0,0.002,0.003
likelihood_unobserved[384],0.007,0.005,0.002,0.013
likelihood_unobserved[385],0.004,0.0,0.004,0.004
likelihood_unobserved[386],0.006,0.002,0.005,0.008
likelihood_unobserved[387],0.004,0.003,0.001,0.006
likelihood_unobserved[388],0.006,0.002,0.003,0.008
likelihood_unobserved[389],0.009,0.005,0.004,0.014
likelihood_unobserved[390],0.005,0.002,0.003,0.006
likelihood_unobserved[391],0.002,0.0,0.001,0.002
likelihood_unobserved[392],0.005,0.001,0.003,0.006
likelihood_unobserved[393],0.002,0.001,0.001,0.004
likelihood_unobserved[394],0.007,0.006,0.001,0.012
likelihood_unobserved[395],0.002,0.0,0.002,0.002
likelihood_unobserved[396],0.003,0.0,0.003,0.003
likelihood_unobserved[397],0.006,0.002,0.003,0.008
likelihood_unobserved[398],0.005,0.003,0.002,0.008
likelihood_unobserved[399],0.002,0.001,0.001,0.004
likelihood_unobserved[400],0.002,0.0,0.002,0.002
likelihood_unobserved[401],0.003,0.0,0.002,0.003
likelihood_unobserved[402],0.006,0.005,0.001,0.011
likelihood_unobserved[403],0.002,0.001,0.001,0.004
likelihood_unobserved[404],0.002,0.001,0.001,0.003
likelihood_unobserved[405],0.003,0.001,0.002,0.004
likelihood_unobserved[406],0.003,0.001,0.002,0.003
likelihood_unobserved[407],0.006,0.0,0.005,0.006
likelihood_unobserved[408],0.004,0.0,0.004,0.004
likelihood_unobserved[409],0.003,0.0,0.003,0.003
likelihood_unobserved[410],0.002,0.001,0.001,0.004
likelihood_unobserved[411],0.003,0.002,0.001,0.005
likelihood_unobserved[412],0.002,0.001,0.001,0.003
likelihood_unobserved[413],0.003,0.0,0.003,0.003
likelihood_unobserved[414],0.002,0.001,0.001,0.004
likelihood_unobserved[415],0.01,0.005,0.005,0.014
likelihood_unobserved[416],0.007,0.006,0.001,0.012
likelihood_unobserved[417],0.003,0.0,0.003,0.003
likelihood_unobserved[418],0.004,0.003,0.002,0.007
likelihood_unobserved[419],0.002,0.001,0.001,0.002
likelihood_unobserved[420],0.007,0.006,0.001,0.014
likelihood_unobserved[421],0.003,0.001,0.001,0.004
likelihood_unobserved[422],0.005,0.003,0.001,0.008
likelihood_unobserved[423],0.006,0.001,0.004,0.007
likelihood_unobserved[424],0.009,0.003,0.006,0.012
likelihood_unobserved[425],0.006,0.004,0.002,0.009
